id,name,prep_time,cook_time,cal,main,ing_name,ing_q
,Oven-Baked Lean Beef Mince & Black Bean Chilli,,35,,,plain tortillas,6
,Oven-Baked Mexican Beef & Black Bean Chilli,,35,,,plain tortillas,6
,Sweet 'N' Smoky BBQ Chicken Fajitas,,20,,,plain tortillas,6
,Chinese Beef & Broccoli Stir-Fry,,10,,,toasted sesame seeds,5
,Crispy Chilli Beef Udon Broth,,10,,,toasted sesame seeds,5
,Sweet 'N' Sour Chicken With Edamame Rice,,10,,,toasted sesame seeds,5
,Sweet Chilli Chicken With Veg Packed Rice,,25,,,toasted sesame seeds,5
,Tangy Tomato & Goats' Cheese Linguine,,20,,,toasted sesame seeds,5
,"One-Pot Chicken, Mushroom & Sweetcorn Noodles",,35,,,toasted sesame seed,5
,"One-Pot Spicy Chicken, Mushroom & Sweetcorn Noodles",,35,,,toasted sesame seed,5
,Creamy Tarragon & Mustard Lentil Chicken,,10,,,tarragon,5
,Garlic Mushroom & Sage Gnocchi,,10,,,sage,5
,One-Pot Pulled Chicken Cacciatore With Ciabatta,,45,,,rosemary,5
,All-In-One Beef Stifado Orzo Stew,,40,,,parsley,5
,Jumbo Prawn Saganaki,,10,,,parsley,5
,King Prawn Paella With Lemon Aioli,,35,,,parsley,5
,Mediterranean Fish Gyros,,10,,,parsley,5
,Melty Greek Lamb Moussaka,,50,,,parsley,5
,One-Pot Pulled Chicken Cacciatore With Ciabatta,,45,,,parsley,5
,One-Pot Spiced Lamb & Feta Orzo ,,40,,,parsley,5
,Smoked Mackerel & Pickled Red Cabbage Salad,,10,,,parsley,5
,Smoky Chicken Goulash With Basmati Rice,,25,,,parsley,5
,"Smoky Spanish Chicken, Patatas Bravas & Aioli",,30,,,parsley,5
,All-In-One Lamb RagÃ¹ Pasta With Chilli & Mint,,50,,,mint,5
,Courgette & Goats' Cheese Linguine,,20,,,mint,5
,"One-Pot Creamy Haddock, Pea & Potato Casserole",,40,,,mint,5
,One-Pot Turkish-Style Lamb Bulgur Pilaf,,45,,,mint,5
,Spicy Halloumi Stew With Couscous,,10,,,mint,5
,Spicy Halloumi Stew With Sultana Couscous,,10,,,mint,5
,Beef Meatballs With Creamy Pappardelle,,25,,,dill,5
,Easy One-Pot Haddock & Leek Risotto,,35,,,dill,5
,"Halloumi, Couscous & Orange Salad",,10,,,dill,5
,Scandi-Style Mackerel & Potato Salad With Spinach,,20,,,dill,5
,Chilli Crab & Spring Green Noodles,,10,,,coriander ,5
,Crispy Chilli Beef Udon Broth,,10,,,coriander,5
,Peruvian-Style Haddock & Sweet Potato Stew,,30,,,coriander,5
,Peruvian-Style Prawn & Rice Chowder,,20,,,coriander,5
,"Smoky Pork, Pineapple & Red Onion Tacos",,25,,,coriander,5
,Spicy Rainbow Veg & Black Bean Curry,,15,,,coriander,5
,Warming King Prawn Bhuna With Rice And Naan,,30,,,coriander,5
,Lighter 'Creamy' Mushroom & Bacon Linguine,,20,,,chives,5
,"One-Pot Haddock, Leek & Cheddar Chowder",,25,,,chives,5
,Oven-Baked Normandy Chicken & Apple Casserole,,35,,,chives,5
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,chives,5
,Honey & Garlic Pork Noodles With Smashed Cucumber,,10,,,black sesame seeds,5
,Miso Tofu With Stir-Fried Ginger Greens,,15,,,black sesame seeds,5
,Sweet Chilli Chicken With Veg Packed Rice,,25,,,black sesame seeds,5
,Tangy Tomato & Goats' Cheese Linguine,,20,,,black sesame seeds,5
,Baked Ratatouille Fusilloni With Goats' Cheese,,35,,,basil,5
,Cheesy Pepperoni Pasta Bake,,35,,,basil,5
,Creamy Garlic Mushroom Gnocchi,,10,,,basil,5
,Creamy Pesto Salmon Fusilli,,10,,,basil,5
,"Fiery Tomato, Crab & Fennel Pappardelle ",,30,,,basil,5
,Kickin' Cajun Chicken & Sweetcorn Casserole,,25,,,basil,5
,Lemony King Prawn Salad With Avo Dressing,,15,,,basil,5
,One-Pot Creamy Sun-Dried Tomato & Chicken Stew,,35,,,basil,5
,Oven-Baked Autumn Ratatouille With Saffron Rice ,,50,,,basil,5
,Oven-Baked Spicy Prawn Arrabbiata Farfalle,,35,,,basil,5
,Chicken Caesar Salad & Focaccia Croutons,,10,,,mayonnaise ,50
,"Smoky Pork, Pineapple & Red Onion Tacos",,25,,,mayonnaise,50
,"Smoky Spanish Chicken, Patatas Bravas & Aioli",,30,,,mayonnaise,50
,One-Pot Thai Red Chicken Noodle Soup,,35,,,solid creamed coconut,50
,All-In-One Fragrant Coconutty Haddock Curry,,30,,,solid coconut cream,50
,Mc & Sons' Chicken Khao Soi Curry,,35,,,solid coconut cream,50
,One-Pot Black Pepper Chicken Dal & Naan,,30,,,solid coconut cream,50
,Prawn & Courgette Noodle Soup,,10,,,solid coconut cream,50
,"Creamy Sausage, Kale & Lemon Tortiglioni",,20,,,soft cheese ,50
,Smoked Mackerel & Lemon Risotto With Pea Shoots,,35,,,soft cheese ,50
,Smoky Chicken & Mushroom Linguine,,20,,,soft cheese ,50
,Cheesy Lentil & Tomato Stuffed Portobellos,,15,,,soft cheese,50
,Chorizo & Tenderstem Fusilli,,10,,,soft cheese,50
,Creamy Haddock Spaghetti With Chilli,,10,,,soft cheese,50
,Creamy Leek Orzo With 'Nduja Jumbo Prawns,,25,,,soft cheese,50
,Creamy Pesto Salmon Fusilli,,10,,,soft cheese,50
,Easy One-Pot Haddock & Leek Risotto,,35,,,soft cheese,50
,Kickin' Cajun Chicken & Sweetcorn Casserole,,25,,,soft cheese,50
,Oven-Baked Normandy Chicken & Apple Casserole,,35,,,soft cheese,50
,Simple Smoked Fish Florentine Bake,,45,,,soft cheese,50
,Cheesy Lentil & Tomato Stuffed Portobellos,,15,,,rocket,50
,"Chilli, Garlic & Jumbo Prawn Spaghetti",,10,,,rocket,50
,Garlic Mushroom & Sage Gnocchi,,10,,,rocket,50
,Spanish Chicken & Charred Pepper Salad,,30,,,rocket,50
,Summery Roast Chicken Salad,,30,,,rocket,50
,Tomato & Goats' Cheese Gnocchi,,10,,,rocket,50
,Smoked Mackerel & Lemon Risotto With Pea Shoots,,35,,,pea shoots,50
,Warm Halloumi Salad With Green Tomato Dressing ,,15,,,lamb's lettuce,50
,Burns Night Venison Burger With Neep & Tattie Fries,,40,,,cornichons,50
,Creamy Leek Orzo With 'Nduja Jumbo Prawns,,25,,,baby leaf salad,50
,"Halloumi, Couscous & Orange Salad",,10,,,baby leaf salad,50
,Lebanese-Style Halloumi Wraps With Tahini Sauce,,10,,,baby leaf salad,50
,Mediterranean Fish Gyros,,10,,,baby leaf salad,50
,Seeded Goats' Cheese & Sweet Potato Salad,,30,,,baby leaf salad,50
,Smoked Mackerel & Pickled Red Cabbage Salad,,10,,,baby leaf salad,50
,Warm Goats' Cheese & Sun-Dried Tomato Salad,,30,,,baby leaf salad,50
,Greek Bean Stew With Feta & Baby Kale,,10,,,baby kale,50
,Simple Smoked Fish Florentine Bake,,45,,,vegetable stock mix ,5
,Smoked Fish & Spinach Pilau Rice,,10,,,vegetable stock mix ,5
,Spicy Halloumi Stew With Couscous,,10,,,vegetable stock mix ,5
,Spicy Halloumi Stew With Sultana Couscous,,10,,,vegetable stock mix ,5
,Creamy Haddock Florentine Spaghetti,,10,,,vegetable stock mix,5
,Creamy Leek Orzo With 'Nduja Jumbo Prawns,,25,,,vegetable stock mix,5
,Garlicky Prawns With Tomato & Green Butter Orzo,,35,,,vegetable stock mix,5
,"Golden Halloumi, Tzatziki & Fruity Couscous",,10,,,vegetable stock mix,5
,Harissa Chickpea & Apricot Tagine,,10,,,vegetable stock mix,5
